Date: 2022-07-14 15:04:59s, Time_Cost: 106s, Epoch: [1/100], Train_PSNR: 15.60, Val_PSNR: 23.38, Val_SSIM: 0.8337
Date: 2022-07-14 15:06:39s, Time_Cost: 100s, Epoch: [2/100], Train_PSNR: 19.22, Val_PSNR: 26.54, Val_SSIM: 0.9024
Date: 2022-07-14 15:08:21s, Time_Cost: 101s, Epoch: [3/100], Train_PSNR: 20.92, Val_PSNR: 26.01, Val_SSIM: 0.9170
Date: 2022-07-14 15:10:02s, Time_Cost: 102s, Epoch: [4/100], Train_PSNR: 21.75, Val_PSNR: 27.82, Val_SSIM: 0.9169
Date: 2022-07-14 15:11:44s, Time_Cost: 102s, Epoch: [5/100], Train_PSNR: 22.40, Val_PSNR: 27.15, Val_SSIM: 0.9247
Date: 2022-07-14 15:13:26s, Time_Cost: 102s, Epoch: [6/100], Train_PSNR: 22.77, Val_PSNR: 28.54, Val_SSIM: 0.9373
Date: 2022-07-14 15:15:07s, Time_Cost: 101s, Epoch: [7/100], Train_PSNR: 23.25, Val_PSNR: 28.24, Val_SSIM: 0.9344
Date: 2022-07-14 15:16:49s, Time_Cost: 102s, Epoch: [8/100], Train_PSNR: 23.54, Val_PSNR: 27.53, Val_SSIM: 0.9348
Date: 2022-07-14 15:18:31s, Time_Cost: 102s, Epoch: [9/100], Train_PSNR: 23.85, Val_PSNR: 27.10, Val_SSIM: 0.9420
Date: 2022-07-14 15:20:13s, Time_Cost: 102s, Epoch: [10/100], Train_PSNR: 24.11, Val_PSNR: 28.03, Val_SSIM: 0.9356
Date: 2022-07-14 15:21:55s, Time_Cost: 102s, Epoch: [11/100], Train_PSNR: 24.46, Val_PSNR: 28.17, Val_SSIM: 0.9424
Date: 2022-07-14 15:23:36s, Time_Cost: 102s, Epoch: [12/100], Train_PSNR: 24.60, Val_PSNR: 25.89, Val_SSIM: 0.9311
Date: 2022-07-14 15:25:18s, Time_Cost: 102s, Epoch: [13/100], Train_PSNR: 24.86, Val_PSNR: 26.31, Val_SSIM: 0.9397
Date: 2022-07-14 15:27:00s, Time_Cost: 102s, Epoch: [14/100], Train_PSNR: 24.89, Val_PSNR: 27.05, Val_SSIM: 0.9425
Date: 2022-07-14 15:28:42s, Time_Cost: 102s, Epoch: [15/100], Train_PSNR: 25.10, Val_PSNR: 27.96, Val_SSIM: 0.9441
Date: 2022-07-14 15:30:25s, Time_Cost: 102s, Epoch: [16/100], Train_PSNR: 25.32, Val_PSNR: 27.17, Val_SSIM: 0.9403
Date: 2022-07-14 15:32:07s, Time_Cost: 102s, Epoch: [17/100], Train_PSNR: 25.35, Val_PSNR: 27.68, Val_SSIM: 0.9314
Date: 2022-07-14 15:33:49s, Time_Cost: 102s, Epoch: [18/100], Train_PSNR: 25.58, Val_PSNR: 26.25, Val_SSIM: 0.9389
Date: 2022-07-14 15:35:31s, Time_Cost: 102s, Epoch: [19/100], Train_PSNR: 25.67, Val_PSNR: 26.53, Val_SSIM: 0.9284
Date: 2022-07-14 15:37:13s, Time_Cost: 102s, Epoch: [20/100], Train_PSNR: 25.89, Val_PSNR: 27.82, Val_SSIM: 0.9421
Date: 2022-07-14 15:38:55s, Time_Cost: 102s, Epoch: [21/100], Train_PSNR: 26.10, Val_PSNR: 26.80, Val_SSIM: 0.9409
Date: 2022-07-14 15:40:37s, Time_Cost: 102s, Epoch: [22/100], Train_PSNR: 26.26, Val_PSNR: 26.54, Val_SSIM: 0.9401
Date: 2022-07-14 15:42:20s, Time_Cost: 102s, Epoch: [23/100], Train_PSNR: 26.68, Val_PSNR: 29.07, Val_SSIM: 0.9501
Date: 2022-07-14 15:44:02s, Time_Cost: 102s, Epoch: [24/100], Train_PSNR: 26.94, Val_PSNR: 28.65, Val_SSIM: 0.9476
Date: 2022-07-14 15:45:44s, Time_Cost: 102s, Epoch: [25/100], Train_PSNR: 27.27, Val_PSNR: 27.07, Val_SSIM: 0.9387
Date: 2022-07-14 15:47:26s, Time_Cost: 102s, Epoch: [26/100], Train_PSNR: 27.43, Val_PSNR: 28.22, Val_SSIM: 0.9440
Date: 2022-07-14 15:49:09s, Time_Cost: 102s, Epoch: [27/100], Train_PSNR: 27.77, Val_PSNR: 28.15, Val_SSIM: 0.9456
Date: 2022-07-14 15:50:51s, Time_Cost: 102s, Epoch: [28/100], Train_PSNR: 27.89, Val_PSNR: 28.46, Val_SSIM: 0.9482
