Date: 2022-07-13 01:12:08s, Time_Cost: 9s, Epoch: [41/2000], Train_PSNR: 23.93, Val_PSNR: 29.19, Val_SSIM: 0.9414
Date: 2022-07-13 01:12:17s, Time_Cost: 9s, Epoch: [42/2000], Train_PSNR: 23.97, Val_PSNR: 28.54, Val_SSIM: 0.9404
Date: 2022-07-13 01:12:25s, Time_Cost: 9s, Epoch: [43/2000], Train_PSNR: 24.05, Val_PSNR: 28.65, Val_SSIM: 0.9423
Date: 2022-07-13 01:12:34s, Time_Cost: 9s, Epoch: [44/2000], Train_PSNR: 24.04, Val_PSNR: 29.38, Val_SSIM: 0.9431
Date: 2022-07-13 01:12:43s, Time_Cost: 9s, Epoch: [45/2000], Train_PSNR: 24.22, Val_PSNR: 29.96, Val_SSIM: 0.9397
Date: 2022-07-13 01:12:52s, Time_Cost: 9s, Epoch: [46/2000], Train_PSNR: 24.16, Val_PSNR: 29.49, Val_SSIM: 0.9445
Date: 2022-07-13 01:13:01s, Time_Cost: 9s, Epoch: [47/2000], Train_PSNR: 24.29, Val_PSNR: 29.46, Val_SSIM: 0.9446
Date: 2022-07-13 01:13:10s, Time_Cost: 9s, Epoch: [48/2000], Train_PSNR: 24.34, Val_PSNR: 30.11, Val_SSIM: 0.9457
Date: 2022-07-13 01:13:19s, Time_Cost: 9s, Epoch: [49/2000], Train_PSNR: 24.44, Val_PSNR: 30.07, Val_SSIM: 0.9447
Date: 2022-07-13 01:13:27s, Time_Cost: 9s, Epoch: [50/2000], Train_PSNR: 24.36, Val_PSNR: 28.32, Val_SSIM: 0.9438
Date: 2022-07-13 01:13:36s, Time_Cost: 9s, Epoch: [51/2000], Train_PSNR: 24.37, Val_PSNR: 29.05, Val_SSIM: 0.9455
Date: 2022-07-13 01:13:45s, Time_Cost: 9s, Epoch: [52/2000], Train_PSNR: 24.49, Val_PSNR: 28.56, Val_SSIM: 0.9461
Date: 2022-07-13 01:13:54s, Time_Cost: 9s, Epoch: [53/2000], Train_PSNR: 24.64, Val_PSNR: 29.65, Val_SSIM: 0.9469
Date: 2022-07-13 01:14:03s, Time_Cost: 9s, Epoch: [54/2000], Train_PSNR: 24.60, Val_PSNR: 30.70, Val_SSIM: 0.9479
Date: 2022-07-13 01:14:12s, Time_Cost: 9s, Epoch: [55/2000], Train_PSNR: 24.71, Val_PSNR: 31.35, Val_SSIM: 0.9478
Date: 2022-07-13 01:14:21s, Time_Cost: 9s, Epoch: [56/2000], Train_PSNR: 24.66, Val_PSNR: 30.46, Val_SSIM: 0.9482
Date: 2022-07-13 01:14:29s, Time_Cost: 9s, Epoch: [57/2000], Train_PSNR: 24.72, Val_PSNR: 29.98, Val_SSIM: 0.9488
Date: 2022-07-13 01:14:38s, Time_Cost: 9s, Epoch: [58/2000], Train_PSNR: 24.79, Val_PSNR: 29.98, Val_SSIM: 0.9491
Date: 2022-07-13 01:14:47s, Time_Cost: 9s, Epoch: [59/2000], Train_PSNR: 24.79, Val_PSNR: 30.91, Val_SSIM: 0.9496
Date: 2022-07-13 01:14:56s, Time_Cost: 9s, Epoch: [60/2000], Train_PSNR: 24.88, Val_PSNR: 31.03, Val_SSIM: 0.9501
Date: 2022-07-13 01:15:05s, Time_Cost: 9s, Epoch: [61/2000], Train_PSNR: 24.96, Val_PSNR: 30.50, Val_SSIM: 0.9504
Date: 2022-07-13 01:15:13s, Time_Cost: 9s, Epoch: [62/2000], Train_PSNR: 25.03, Val_PSNR: 30.95, Val_SSIM: 0.9504
Date: 2022-07-13 01:15:22s, Time_Cost: 9s, Epoch: [63/2000], Train_PSNR: 25.09, Val_PSNR: 30.97, Val_SSIM: 0.9503
Date: 2022-07-13 01:15:31s, Time_Cost: 9s, Epoch: [64/2000], Train_PSNR: 25.02, Val_PSNR: 29.50, Val_SSIM: 0.9510
Date: 2022-07-13 01:15:40s, Time_Cost: 9s, Epoch: [65/2000], Train_PSNR: 25.08, Val_PSNR: 30.24, Val_SSIM: 0.9513
Date: 2022-07-13 01:15:49s, Time_Cost: 9s, Epoch: [66/2000], Train_PSNR: 25.15, Val_PSNR: 29.86, Val_SSIM: 0.9507
Date: 2022-07-13 01:15:57s, Time_Cost: 9s, Epoch: [67/2000], Train_PSNR: 25.12, Val_PSNR: 30.60, Val_SSIM: 0.9519
Date: 2022-07-13 01:16:06s, Time_Cost: 9s, Epoch: [68/2000], Train_PSNR: 25.18, Val_PSNR: 29.66, Val_SSIM: 0.9519
Date: 2022-07-13 01:16:15s, Time_Cost: 9s, Epoch: [69/2000], Train_PSNR: 25.20, Val_PSNR: 30.48, Val_SSIM: 0.9517
Date: 2022-07-13 01:16:24s, Time_Cost: 9s, Epoch: [70/2000], Train_PSNR: 25.12, Val_PSNR: 30.15, Val_SSIM: 0.9521
Date: 2022-07-13 01:16:33s, Time_Cost: 9s, Epoch: [71/2000], Train_PSNR: 25.01, Val_PSNR: 28.52, Val_SSIM: 0.9430
Date: 2022-07-13 01:16:41s, Time_Cost: 9s, Epoch: [72/2000], Train_PSNR: 24.70, Val_PSNR: 29.24, Val_SSIM: 0.9494
Date: 2022-07-13 01:16:50s, Time_Cost: 9s, Epoch: [73/2000], Train_PSNR: 25.18, Val_PSNR: 29.54, Val_SSIM: 0.9505
Date: 2022-07-13 01:16:59s, Time_Cost: 9s, Epoch: [74/2000], Train_PSNR: 25.11, Val_PSNR: 31.02, Val_SSIM: 0.9518
Date: 2022-07-13 01:17:08s, Time_Cost: 9s, Epoch: [75/2000], Train_PSNR: 25.25, Val_PSNR: 31.72, Val_SSIM: 0.9522
Date: 2022-07-13 01:17:17s, Time_Cost: 9s, Epoch: [76/2000], Train_PSNR: 25.36, Val_PSNR: 30.29, Val_SSIM: 0.9531
Date: 2022-07-13 01:17:26s, Time_Cost: 9s, Epoch: [77/2000], Train_PSNR: 25.36, Val_PSNR: 30.75, Val_SSIM: 0.9528
Date: 2022-07-13 01:17:34s, Time_Cost: 9s, Epoch: [78/2000], Train_PSNR: 25.45, Val_PSNR: 29.67, Val_SSIM: 0.9534
Date: 2022-07-13 01:17:43s, Time_Cost: 9s, Epoch: [79/2000], Train_PSNR: 25.49, Val_PSNR: 30.24, Val_SSIM: 0.9524
Date: 2022-07-13 01:17:52s, Time_Cost: 9s, Epoch: [80/2000], Train_PSNR: 25.50, Val_PSNR: 30.36, Val_SSIM: 0.9535
Date: 2022-07-13 01:18:01s, Time_Cost: 9s, Epoch: [81/2000], Train_PSNR: 25.53, Val_PSNR: 29.77, Val_SSIM: 0.9529
Date: 2022-07-13 01:18:10s, Time_Cost: 9s, Epoch: [82/2000], Train_PSNR: 25.64, Val_PSNR: 30.08, Val_SSIM: 0.9527
Date: 2022-07-13 01:18:18s, Time_Cost: 9s, Epoch: [83/2000], Train_PSNR: 25.65, Val_PSNR: 30.32, Val_SSIM: 0.9534
Date: 2022-07-13 01:18:27s, Time_Cost: 9s, Epoch: [84/2000], Train_PSNR: 25.63, Val_PSNR: 29.23, Val_SSIM: 0.9536
Date: 2022-07-13 01:18:36s, Time_Cost: 9s, Epoch: [85/2000], Train_PSNR: 25.68, Val_PSNR: 30.58, Val_SSIM: 0.9525
Date: 2022-07-13 01:18:45s, Time_Cost: 9s, Epoch: [86/2000], Train_PSNR: 25.70, Val_PSNR: 30.74, Val_SSIM: 0.9521
Date: 2022-07-13 01:18:54s, Time_Cost: 9s, Epoch: [87/2000], Train_PSNR: 25.73, Val_PSNR: 28.77, Val_SSIM: 0.9515
Date: 2022-07-13 01:19:03s, Time_Cost: 9s, Epoch: [88/2000], Train_PSNR: 25.71, Val_PSNR: 31.32, Val_SSIM: 0.9525
Date: 2022-07-13 01:19:11s, Time_Cost: 9s, Epoch: [89/2000], Train_PSNR: 25.77, Val_PSNR: 29.77, Val_SSIM: 0.9530
Date: 2022-07-13 01:19:20s, Time_Cost: 9s, Epoch: [90/2000], Train_PSNR: 25.80, Val_PSNR: 31.22, Val_SSIM: 0.9518
Date: 2022-07-13 01:19:29s, Time_Cost: 9s, Epoch: [91/2000], Train_PSNR: 25.75, Val_PSNR: 30.28, Val_SSIM: 0.9523
Date: 2022-07-13 01:19:38s, Time_Cost: 9s, Epoch: [92/2000], Train_PSNR: 25.85, Val_PSNR: 29.55, Val_SSIM: 0.9519
Date: 2022-07-13 01:19:46s, Time_Cost: 9s, Epoch: [93/2000], Train_PSNR: 25.90, Val_PSNR: 31.06, Val_SSIM: 0.9513
Date: 2022-07-13 01:19:55s, Time_Cost: 9s, Epoch: [94/2000], Train_PSNR: 25.91, Val_PSNR: 31.96, Val_SSIM: 0.9494
Date: 2022-07-13 01:20:04s, Time_Cost: 9s, Epoch: [95/2000], Train_PSNR: 25.97, Val_PSNR: 30.86, Val_SSIM: 0.9489
Date: 2022-07-13 01:20:13s, Time_Cost: 9s, Epoch: [96/2000], Train_PSNR: 26.03, Val_PSNR: 30.89, Val_SSIM: 0.9527
Date: 2022-07-13 01:20:22s, Time_Cost: 9s, Epoch: [97/2000], Train_PSNR: 26.05, Val_PSNR: 31.23, Val_SSIM: 0.9510
Date: 2022-07-13 01:20:31s, Time_Cost: 9s, Epoch: [98/2000], Train_PSNR: 26.11, Val_PSNR: 30.94, Val_SSIM: 0.9526
Date: 2022-07-13 01:20:39s, Time_Cost: 9s, Epoch: [99/2000], Train_PSNR: 26.16, Val_PSNR: 31.21, Val_SSIM: 0.9510
Date: 2022-07-13 01:20:48s, Time_Cost: 9s, Epoch: [100/2000], Train_PSNR: 26.23, Val_PSNR: 29.98, Val_SSIM: 0.9539
Date: 2022-07-13 01:20:57s, Time_Cost: 9s, Epoch: [101/2000], Train_PSNR: 26.29, Val_PSNR: 30.88, Val_SSIM: 0.9519
Date: 2022-07-13 01:21:06s, Time_Cost: 9s, Epoch: [102/2000], Train_PSNR: 26.32, Val_PSNR: 30.12, Val_SSIM: 0.9511
Date: 2022-07-13 01:21:15s, Time_Cost: 9s, Epoch: [103/2000], Train_PSNR: 26.34, Val_PSNR: 30.82, Val_SSIM: 0.9517
Date: 2022-07-13 01:21:23s, Time_Cost: 9s, Epoch: [104/2000], Train_PSNR: 26.36, Val_PSNR: 30.30, Val_SSIM: 0.9523
Date: 2022-07-13 01:21:32s, Time_Cost: 9s, Epoch: [105/2000], Train_PSNR: 26.39, Val_PSNR: 31.30, Val_SSIM: 0.9515
Date: 2022-07-13 01:21:41s, Time_Cost: 9s, Epoch: [106/2000], Train_PSNR: 26.40, Val_PSNR: 30.35, Val_SSIM: 0.9523
Date: 2022-07-13 01:21:50s, Time_Cost: 9s, Epoch: [107/2000], Train_PSNR: 26.44, Val_PSNR: 31.23, Val_SSIM: 0.9514
Date: 2022-07-13 01:21:59s, Time_Cost: 9s, Epoch: [108/2000], Train_PSNR: 26.47, Val_PSNR: 30.68, Val_SSIM: 0.9508
Date: 2022-07-13 01:22:07s, Time_Cost: 9s, Epoch: [109/2000], Train_PSNR: 26.51, Val_PSNR: 30.36, Val_SSIM: 0.9523
Date: 2022-07-13 01:22:16s, Time_Cost: 9s, Epoch: [110/2000], Train_PSNR: 26.54, Val_PSNR: 30.85, Val_SSIM: 0.9515
Date: 2022-07-13 01:22:25s, Time_Cost: 9s, Epoch: [111/2000], Train_PSNR: 26.56, Val_PSNR: 31.38, Val_SSIM: 0.9514
Date: 2022-07-13 01:22:34s, Time_Cost: 9s, Epoch: [112/2000], Train_PSNR: 26.57, Val_PSNR: 30.32, Val_SSIM: 0.9517
Date: 2022-07-13 01:22:43s, Time_Cost: 9s, Epoch: [113/2000], Train_PSNR: 26.59, Val_PSNR: 30.27, Val_SSIM: 0.9516
Date: 2022-07-13 01:22:52s, Time_Cost: 9s, Epoch: [114/2000], Train_PSNR: 26.61, Val_PSNR: 29.84, Val_SSIM: 0.9520
Date: 2022-07-13 01:23:00s, Time_Cost: 9s, Epoch: [115/2000], Train_PSNR: 26.63, Val_PSNR: 30.82, Val_SSIM: 0.9510
Date: 2022-07-13 01:23:09s, Time_Cost: 9s, Epoch: [116/2000], Train_PSNR: 26.66, Val_PSNR: 30.71, Val_SSIM: 0.9503
Date: 2022-07-13 01:23:18s, Time_Cost: 9s, Epoch: [117/2000], Train_PSNR: 26.63, Val_PSNR: 30.26, Val_SSIM: 0.9514
Date: 2022-07-13 01:23:27s, Time_Cost: 9s, Epoch: [118/2000], Train_PSNR: 26.69, Val_PSNR: 30.36, Val_SSIM: 0.9520
Date: 2022-07-13 01:23:36s, Time_Cost: 9s, Epoch: [119/2000], Train_PSNR: 26.74, Val_PSNR: 30.84, Val_SSIM: 0.9511
Date: 2022-07-13 01:23:44s, Time_Cost: 9s, Epoch: [120/2000], Train_PSNR: 26.76, Val_PSNR: 30.78, Val_SSIM: 0.9505
Date: 2022-07-13 01:23:53s, Time_Cost: 9s, Epoch: [121/2000], Train_PSNR: 26.76, Val_PSNR: 30.84, Val_SSIM: 0.9508
Date: 2022-07-13 01:24:02s, Time_Cost: 9s, Epoch: [122/2000], Train_PSNR: 26.76, Val_PSNR: 30.78, Val_SSIM: 0.9511
