Date: 2022-07-20 15:06:48s, Time_Cost: 124s, Epoch: [41/250], Train_PSNR: 28.43, Val_PSNR: 27.36, Val_SSIM: 0.9380
Date: 2022-07-20 15:08:50s, Time_Cost: 123s, Epoch: [42/250], Train_PSNR: 28.48, Val_PSNR: 27.49, Val_SSIM: 0.9365
Date: 2022-07-20 15:10:54s, Time_Cost: 123s, Epoch: [43/250], Train_PSNR: 28.51, Val_PSNR: 27.24, Val_SSIM: 0.9365
Date: 2022-07-20 15:12:56s, Time_Cost: 123s, Epoch: [44/250], Train_PSNR: 28.55, Val_PSNR: 27.27, Val_SSIM: 0.9368
Date: 2022-07-20 15:14:59s, Time_Cost: 123s, Epoch: [45/250], Train_PSNR: 28.59, Val_PSNR: 27.02, Val_SSIM: 0.9358
Date: 2022-07-20 15:17:03s, Time_Cost: 124s, Epoch: [46/250], Train_PSNR: 28.62, Val_PSNR: 26.97, Val_SSIM: 0.9365
Date: 2022-07-20 15:19:05s, Time_Cost: 122s, Epoch: [47/250], Train_PSNR: 28.67, Val_PSNR: 27.00, Val_SSIM: 0.9373
Date: 2022-07-20 15:21:08s, Time_Cost: 123s, Epoch: [48/250], Train_PSNR: 28.70, Val_PSNR: 27.13, Val_SSIM: 0.9362
Date: 2022-07-20 15:23:10s, Time_Cost: 123s, Epoch: [49/250], Train_PSNR: 28.72, Val_PSNR: 27.25, Val_SSIM: 0.9364
Date: 2022-07-20 15:25:14s, Time_Cost: 123s, Epoch: [50/250], Train_PSNR: 28.76, Val_PSNR: 26.41, Val_SSIM: 0.9319
Date: 2022-07-20 15:27:16s, Time_Cost: 123s, Epoch: [51/250], Train_PSNR: 28.79, Val_PSNR: 26.89, Val_SSIM: 0.9352
Date: 2022-07-20 15:29:19s, Time_Cost: 123s, Epoch: [52/250], Train_PSNR: 28.81, Val_PSNR: 26.79, Val_SSIM: 0.9345
Date: 2022-07-20 15:31:21s, Time_Cost: 122s, Epoch: [53/250], Train_PSNR: 28.84, Val_PSNR: 26.90, Val_SSIM: 0.9345
Date: 2022-07-20 15:33:25s, Time_Cost: 123s, Epoch: [54/250], Train_PSNR: 28.86, Val_PSNR: 26.81, Val_SSIM: 0.9354
Date: 2022-07-20 15:35:27s, Time_Cost: 122s, Epoch: [55/250], Train_PSNR: 28.89, Val_PSNR: 26.99, Val_SSIM: 0.9342
Date: 2022-07-20 15:37:32s, Time_Cost: 125s, Epoch: [56/250], Train_PSNR: 28.91, Val_PSNR: 26.84, Val_SSIM: 0.9335
Date: 2022-07-20 15:39:35s, Time_Cost: 123s, Epoch: [57/250], Train_PSNR: 28.93, Val_PSNR: 26.83, Val_SSIM: 0.9343
Date: 2022-07-20 15:41:38s, Time_Cost: 123s, Epoch: [58/250], Train_PSNR: 28.95, Val_PSNR: 26.73, Val_SSIM: 0.9332
Date: 2022-07-20 15:43:41s, Time_Cost: 123s, Epoch: [59/250], Train_PSNR: 28.97, Val_PSNR: 26.60, Val_SSIM: 0.9330
Date: 2022-07-20 15:45:44s, Time_Cost: 123s, Epoch: [60/250], Train_PSNR: 28.99, Val_PSNR: 26.68, Val_SSIM: 0.9340
Date: 2022-07-20 15:47:47s, Time_Cost: 123s, Epoch: [61/250], Train_PSNR: 29.01, Val_PSNR: 26.82, Val_SSIM: 0.9329
