Date: 2022-07-13 17:07:00s, Time_Cost: 21s, Epoch: [1/100], Train_PSNR: 10.03, Val_PSNR: 21.56, Val_SSIM: 0.5226
Date: 2022-07-13 17:07:15s, Time_Cost: 15s, Epoch: [2/100], Train_PSNR: 15.23, Val_PSNR: 23.58, Val_SSIM: 0.6546
Date: 2022-07-13 17:07:30s, Time_Cost: 15s, Epoch: [3/100], Train_PSNR: 16.56, Val_PSNR: 24.52, Val_SSIM: 0.7352
Date: 2022-07-13 17:07:45s, Time_Cost: 15s, Epoch: [4/100], Train_PSNR: 17.57, Val_PSNR: 23.46, Val_SSIM: 0.7800
Date: 2022-07-13 17:08:00s, Time_Cost: 15s, Epoch: [5/100], Train_PSNR: 18.36, Val_PSNR: 25.97, Val_SSIM: 0.8286
Date: 2022-07-13 17:08:15s, Time_Cost: 15s, Epoch: [6/100], Train_PSNR: 19.00, Val_PSNR: 25.22, Val_SSIM: 0.8398
Date: 2022-07-13 17:08:30s, Time_Cost: 15s, Epoch: [7/100], Train_PSNR: 19.38, Val_PSNR: 26.53, Val_SSIM: 0.8592
Date: 2022-07-13 17:08:45s, Time_Cost: 15s, Epoch: [8/100], Train_PSNR: 19.83, Val_PSNR: 26.90, Val_SSIM: 0.8710
Date: 2022-07-13 17:09:00s, Time_Cost: 15s, Epoch: [9/100], Train_PSNR: 20.21, Val_PSNR: 27.14, Val_SSIM: 0.8825
Date: 2022-07-13 17:09:15s, Time_Cost: 15s, Epoch: [10/100], Train_PSNR: 20.66, Val_PSNR: 26.94, Val_SSIM: 0.8908
Date: 2022-07-13 17:09:30s, Time_Cost: 15s, Epoch: [11/100], Train_PSNR: 21.29, Val_PSNR: 28.26, Val_SSIM: 0.9021
Date: 2022-07-13 17:09:46s, Time_Cost: 15s, Epoch: [12/100], Train_PSNR: 21.74, Val_PSNR: 29.22, Val_SSIM: 0.9111
Date: 2022-07-13 17:10:01s, Time_Cost: 15s, Epoch: [13/100], Train_PSNR: 22.10, Val_PSNR: 29.03, Val_SSIM: 0.9158
Date: 2022-07-13 17:10:16s, Time_Cost: 15s, Epoch: [14/100], Train_PSNR: 22.57, Val_PSNR: 28.18, Val_SSIM: 0.9229
Date: 2022-07-13 17:10:30s, Time_Cost: 15s, Epoch: [15/100], Train_PSNR: 22.83, Val_PSNR: 27.78, Val_SSIM: 0.9267
Date: 2022-07-13 17:10:45s, Time_Cost: 15s, Epoch: [16/100], Train_PSNR: 23.09, Val_PSNR: 28.57, Val_SSIM: 0.9314
Date: 2022-07-13 17:11:00s, Time_Cost: 15s, Epoch: [17/100], Train_PSNR: 23.33, Val_PSNR: 28.66, Val_SSIM: 0.9349
Date: 2022-07-13 17:11:15s, Time_Cost: 15s, Epoch: [18/100], Train_PSNR: 23.55, Val_PSNR: 29.62, Val_SSIM: 0.9382
Date: 2022-07-13 17:11:30s, Time_Cost: 15s, Epoch: [19/100], Train_PSNR: 23.43, Val_PSNR: 30.42, Val_SSIM: 0.9312
Date: 2022-07-13 17:11:45s, Time_Cost: 15s, Epoch: [20/100], Train_PSNR: 23.47, Val_PSNR: 29.21, Val_SSIM: 0.9402
Date: 2022-07-13 17:12:00s, Time_Cost: 15s, Epoch: [21/100], Train_PSNR: 24.04, Val_PSNR: 29.95, Val_SSIM: 0.9431
Date: 2022-07-13 17:12:15s, Time_Cost: 15s, Epoch: [22/100], Train_PSNR: 24.15, Val_PSNR: 30.06, Val_SSIM: 0.9447
Date: 2022-07-13 17:12:30s, Time_Cost: 15s, Epoch: [23/100], Train_PSNR: 24.21, Val_PSNR: 29.84, Val_SSIM: 0.9456
Date: 2022-07-13 17:12:45s, Time_Cost: 15s, Epoch: [24/100], Train_PSNR: 24.38, Val_PSNR: 31.02, Val_SSIM: 0.9483
Date: 2022-07-13 17:13:01s, Time_Cost: 15s, Epoch: [25/100], Train_PSNR: 24.45, Val_PSNR: 30.26, Val_SSIM: 0.9478
Date: 2022-07-13 17:13:16s, Time_Cost: 15s, Epoch: [26/100], Train_PSNR: 24.49, Val_PSNR: 30.17, Val_SSIM: 0.9489
Date: 2022-07-13 17:13:31s, Time_Cost: 15s, Epoch: [27/100], Train_PSNR: 24.54, Val_PSNR: 30.67, Val_SSIM: 0.9507
Date: 2022-07-13 17:13:46s, Time_Cost: 15s, Epoch: [28/100], Train_PSNR: 24.71, Val_PSNR: 30.51, Val_SSIM: 0.9515
Date: 2022-07-13 17:14:01s, Time_Cost: 15s, Epoch: [29/100], Train_PSNR: 24.78, Val_PSNR: 30.00, Val_SSIM: 0.9495
Date: 2022-07-13 17:14:16s, Time_Cost: 15s, Epoch: [30/100], Train_PSNR: 24.82, Val_PSNR: 30.56, Val_SSIM: 0.9513
Date: 2022-07-13 17:14:31s, Time_Cost: 15s, Epoch: [31/100], Train_PSNR: 24.86, Val_PSNR: 31.65, Val_SSIM: 0.9532
Date: 2022-07-13 17:14:46s, Time_Cost: 15s, Epoch: [32/100], Train_PSNR: 25.06, Val_PSNR: 31.08, Val_SSIM: 0.9532
Date: 2022-07-13 17:15:01s, Time_Cost: 15s, Epoch: [33/100], Train_PSNR: 24.99, Val_PSNR: 31.25, Val_SSIM: 0.9538
Date: 2022-07-13 17:15:16s, Time_Cost: 15s, Epoch: [34/100], Train_PSNR: 25.09, Val_PSNR: 30.78, Val_SSIM: 0.9539
Date: 2022-07-13 17:15:31s, Time_Cost: 15s, Epoch: [35/100], Train_PSNR: 25.25, Val_PSNR: 31.25, Val_SSIM: 0.9548
Date: 2022-07-13 17:15:46s, Time_Cost: 15s, Epoch: [36/100], Train_PSNR: 25.35, Val_PSNR: 31.85, Val_SSIM: 0.9553
Date: 2022-07-13 17:16:02s, Time_Cost: 15s, Epoch: [37/100], Train_PSNR: 25.39, Val_PSNR: 30.95, Val_SSIM: 0.9553
Date: 2022-07-13 17:16:17s, Time_Cost: 15s, Epoch: [38/100], Train_PSNR: 25.24, Val_PSNR: 30.83, Val_SSIM: 0.9548
Date: 2022-07-13 17:16:32s, Time_Cost: 15s, Epoch: [39/100], Train_PSNR: 25.45, Val_PSNR: 32.07, Val_SSIM: 0.9547
Date: 2022-07-13 17:16:47s, Time_Cost: 15s, Epoch: [40/100], Train_PSNR: 25.51, Val_PSNR: 30.63, Val_SSIM: 0.9557
Date: 2022-07-13 17:17:02s, Time_Cost: 15s, Epoch: [41/100], Train_PSNR: 25.69, Val_PSNR: 31.01, Val_SSIM: 0.9560
Date: 2022-07-13 17:17:17s, Time_Cost: 15s, Epoch: [42/100], Train_PSNR: 25.59, Val_PSNR: 30.84, Val_SSIM: 0.9553
Date: 2022-07-13 17:17:32s, Time_Cost: 15s, Epoch: [43/100], Train_PSNR: 25.65, Val_PSNR: 30.72, Val_SSIM: 0.9552
Date: 2022-07-13 17:17:47s, Time_Cost: 15s, Epoch: [44/100], Train_PSNR: 25.74, Val_PSNR: 30.88, Val_SSIM: 0.9558
Date: 2022-07-13 17:18:02s, Time_Cost: 15s, Epoch: [45/100], Train_PSNR: 25.90, Val_PSNR: 32.07, Val_SSIM: 0.9562
Date: 2022-07-13 17:18:18s, Time_Cost: 15s, Epoch: [46/100], Train_PSNR: 26.00, Val_PSNR: 31.95, Val_SSIM: 0.9548
Date: 2022-07-13 17:18:33s, Time_Cost: 15s, Epoch: [47/100], Train_PSNR: 25.96, Val_PSNR: 31.29, Val_SSIM: 0.9558
Date: 2022-07-13 17:18:48s, Time_Cost: 15s, Epoch: [48/100], Train_PSNR: 26.11, Val_PSNR: 31.78, Val_SSIM: 0.9564
Date: 2022-07-13 17:19:03s, Time_Cost: 15s, Epoch: [49/100], Train_PSNR: 26.20, Val_PSNR: 31.05, Val_SSIM: 0.9562
Date: 2022-07-13 17:19:18s, Time_Cost: 15s, Epoch: [50/100], Train_PSNR: 26.24, Val_PSNR: 31.30, Val_SSIM: 0.9551
Date: 2022-07-13 17:19:33s, Time_Cost: 15s, Epoch: [51/100], Train_PSNR: 26.26, Val_PSNR: 31.57, Val_SSIM: 0.9556
Date: 2022-07-13 17:19:48s, Time_Cost: 15s, Epoch: [52/100], Train_PSNR: 26.36, Val_PSNR: 31.40, Val_SSIM: 0.9556
Date: 2022-07-13 17:20:03s, Time_Cost: 15s, Epoch: [53/100], Train_PSNR: 26.45, Val_PSNR: 30.79, Val_SSIM: 0.9547
Date: 2022-07-13 17:20:19s, Time_Cost: 15s, Epoch: [54/100], Train_PSNR: 24.02, Val_PSNR: 23.62, Val_SSIM: 0.7616
Date: 2022-07-13 17:20:34s, Time_Cost: 15s, Epoch: [55/100], Train_PSNR: 21.44, Val_PSNR: 27.88, Val_SSIM: 0.9380
Date: 2022-07-13 17:20:49s, Time_Cost: 15s, Epoch: [56/100], Train_PSNR: 23.43, Val_PSNR: 28.20, Val_SSIM: 0.9497
Date: 2022-07-13 17:21:04s, Time_Cost: 15s, Epoch: [57/100], Train_PSNR: 23.94, Val_PSNR: 28.99, Val_SSIM: 0.9529
Date: 2022-07-13 17:21:19s, Time_Cost: 15s, Epoch: [58/100], Train_PSNR: 24.72, Val_PSNR: 30.47, Val_SSIM: 0.9550
Date: 2022-07-13 17:21:34s, Time_Cost: 15s, Epoch: [59/100], Train_PSNR: 25.20, Val_PSNR: 31.00, Val_SSIM: 0.9563
Date: 2022-07-13 17:21:49s, Time_Cost: 15s, Epoch: [60/100], Train_PSNR: 25.26, Val_PSNR: 30.48, Val_SSIM: 0.9583
Date: 2022-07-13 17:22:04s, Time_Cost: 15s, Epoch: [61/100], Train_PSNR: 25.56, Val_PSNR: 30.92, Val_SSIM: 0.9577
Date: 2022-07-13 17:22:19s, Time_Cost: 15s, Epoch: [62/100], Train_PSNR: 25.65, Val_PSNR: 31.95, Val_SSIM: 0.9599
Date: 2022-07-13 17:22:34s, Time_Cost: 15s, Epoch: [63/100], Train_PSNR: 25.65, Val_PSNR: 31.20, Val_SSIM: 0.9600
Date: 2022-07-13 17:22:50s, Time_Cost: 15s, Epoch: [64/100], Train_PSNR: 25.76, Val_PSNR: 30.71, Val_SSIM: 0.9596
Date: 2022-07-13 17:23:05s, Time_Cost: 15s, Epoch: [65/100], Train_PSNR: 25.98, Val_PSNR: 31.02, Val_SSIM: 0.9611
Date: 2022-07-13 17:23:20s, Time_Cost: 15s, Epoch: [66/100], Train_PSNR: 25.93, Val_PSNR: 31.37, Val_SSIM: 0.9600
Date: 2022-07-13 17:23:35s, Time_Cost: 15s, Epoch: [67/100], Train_PSNR: 26.04, Val_PSNR: 31.44, Val_SSIM: 0.9614
Date: 2022-07-13 17:23:50s, Time_Cost: 15s, Epoch: [68/100], Train_PSNR: 26.12, Val_PSNR: 31.42, Val_SSIM: 0.9608
Date: 2022-07-13 17:24:05s, Time_Cost: 15s, Epoch: [69/100], Train_PSNR: 25.84, Val_PSNR: 30.87, Val_SSIM: 0.9613
Date: 2022-07-13 17:24:20s, Time_Cost: 15s, Epoch: [70/100], Train_PSNR: 26.09, Val_PSNR: 31.93, Val_SSIM: 0.9601
Date: 2022-07-13 17:24:35s, Time_Cost: 15s, Epoch: [71/100], Train_PSNR: 26.15, Val_PSNR: 31.25, Val_SSIM: 0.9609
Date: 2022-07-13 17:24:51s, Time_Cost: 15s, Epoch: [72/100], Train_PSNR: 26.31, Val_PSNR: 31.39, Val_SSIM: 0.9606
Date: 2022-07-13 17:25:06s, Time_Cost: 15s, Epoch: [73/100], Train_PSNR: 26.46, Val_PSNR: 31.02, Val_SSIM: 0.9587
Date: 2022-07-13 17:25:21s, Time_Cost: 15s, Epoch: [74/100], Train_PSNR: 26.63, Val_PSNR: 32.52, Val_SSIM: 0.9595
Date: 2022-07-13 17:25:36s, Time_Cost: 15s, Epoch: [75/100], Train_PSNR: 26.75, Val_PSNR: 31.87, Val_SSIM: 0.9589
Date: 2022-07-13 17:25:52s, Time_Cost: 15s, Epoch: [76/100], Train_PSNR: 26.85, Val_PSNR: 31.08, Val_SSIM: 0.9585
Date: 2022-07-13 17:26:07s, Time_Cost: 15s, Epoch: [77/100], Train_PSNR: 26.85, Val_PSNR: 32.65, Val_SSIM: 0.9586
Date: 2022-07-13 17:26:22s, Time_Cost: 15s, Epoch: [78/100], Train_PSNR: 27.02, Val_PSNR: 32.10, Val_SSIM: 0.9587
Date: 2022-07-13 17:26:37s, Time_Cost: 15s, Epoch: [79/100], Train_PSNR: 27.09, Val_PSNR: 32.15, Val_SSIM: 0.9588
Date: 2022-07-13 17:26:53s, Time_Cost: 15s, Epoch: [80/100], Train_PSNR: 27.10, Val_PSNR: 31.71, Val_SSIM: 0.9576
Date: 2022-07-13 17:27:08s, Time_Cost: 15s, Epoch: [81/100], Train_PSNR: 27.10, Val_PSNR: 31.68, Val_SSIM: 0.9582
Date: 2022-07-13 17:27:23s, Time_Cost: 15s, Epoch: [82/100], Train_PSNR: 27.20, Val_PSNR: 31.75, Val_SSIM: 0.9584
Date: 2022-07-13 17:27:38s, Time_Cost: 15s, Epoch: [83/100], Train_PSNR: 27.26, Val_PSNR: 32.15, Val_SSIM: 0.9578
Date: 2022-07-13 17:27:53s, Time_Cost: 15s, Epoch: [84/100], Train_PSNR: 27.30, Val_PSNR: 32.03, Val_SSIM: 0.9579
Date: 2022-07-13 17:28:08s, Time_Cost: 15s, Epoch: [85/100], Train_PSNR: 27.31, Val_PSNR: 31.59, Val_SSIM: 0.9577
Date: 2022-07-13 17:28:23s, Time_Cost: 15s, Epoch: [86/100], Train_PSNR: 27.37, Val_PSNR: 31.69, Val_SSIM: 0.9570
Date: 2022-07-13 17:28:38s, Time_Cost: 15s, Epoch: [87/100], Train_PSNR: 27.44, Val_PSNR: 32.02, Val_SSIM: 0.9574
Date: 2022-07-13 17:28:53s, Time_Cost: 15s, Epoch: [88/100], Train_PSNR: 27.31, Val_PSNR: 32.35, Val_SSIM: 0.9565
Date: 2022-07-13 17:29:09s, Time_Cost: 15s, Epoch: [89/100], Train_PSNR: 27.44, Val_PSNR: 32.09, Val_SSIM: 0.9569
Date: 2022-07-13 17:29:24s, Time_Cost: 15s, Epoch: [90/100], Train_PSNR: 27.49, Val_PSNR: 32.38, Val_SSIM: 0.9573
